id,hidden_layer_sizes,alpha,learning_rate_init,max_iter,best_threshold,train_acc_05,train_rec_05,train_prec_05,train_auc_05,val_acc_05,val_rec_05,val_prec_05,val_auc_05,test_acc_05,test_rec_05,test_prec_05,test_auc_05,val_acc_tuned,val_rec_tuned,val_prec_tuned,val_auc_tuned,test_acc_tuned,test_rec_tuned,test_prec_tuned,test_auc_tuned,val_tn,val_fp,val_fn,val_tp,test_tn,test_fp,test_fn,test_tp,train_time,early_stop_epoch,converged,constraint_met,is_leader
mlp_exp_20251201_2105_model001,"(128, 64, 32)",1e-05,0.001,300,0.44000000000000006,0.9456849193691299,0.9526977087952697,0.841658504733921,0.9878443956880765,0.91232423490488,0.9,0.772189349112426,0.9543821057371206,0.9115336916081025,0.9051724137931034,0.7675438596491229,0.9597710524835461,0.9110835401157982,0.9206896551724137,0.7596017069701281,0.9543821057371206,0.9090533278214138,0.9172413793103448,0.7556818181818182,0.9597710524835461,1669,169,46,534,1667,172,48,532,1.603043794631958,52,True,False,False
mlp_exp_20251201_2105_model002,"(128, 64, 32)",1e-05,0.001,500,0.44000000000000006,0.9456849193691299,0.9526977087952697,0.841658504733921,0.9878443956880765,0.91232423490488,0.9,0.772189349112426,0.9543821057371206,0.9115336916081025,0.9051724137931034,0.7675438596491229,0.9597710524835461,0.9110835401157982,0.9206896551724137,0.7596017069701281,0.9543821057371206,0.9090533278214138,0.9172413793103448,0.7556818181818182,0.9597710524835461,1669,169,46,534,1667,172,48,532,1.5648319721221924,52,True,False,False
mlp_exp_20251201_2105_model003,"(128, 64, 32)",1e-05,0.0007,300,0.35,0.9462165514797094,0.9161123429416113,0.8670863938440014,0.9873355764708315,0.9094292803970223,0.843103448275862,0.7925445705024311,0.9505304678998912,0.9107069036792063,0.8706896551724138,0.781733746130031,0.9574384504322064,0.9110835401157982,0.9224137931034483,0.7588652482269503,0.9505304678998912,0.9082265398925176,0.9189655172413793,0.7528248587570622,0.9574384504322064,1668,170,45,535,1664,175,47,533,1.5299010276794434,55,True,False,False
mlp_exp_20251201_2105_model004,"(128, 64, 32)",1e-05,0.0007,500,0.35,0.9462165514797094,0.9161123429416113,0.8670863938440014,0.9873355764708315,0.9094292803970223,0.843103448275862,0.7925445705024311,0.9505304678998912,0.9107069036792063,0.8706896551724138,0.781733746130031,0.9574384504322064,0.9110835401157982,0.9224137931034483,0.7588652482269503,0.9505304678998912,0.9082265398925176,0.9189655172413793,0.7528248587570622,0.9574384504322064,1668,170,45,535,1664,175,47,533,1.5284342765808105,55,True,False,False
mlp_exp_20251201_2105_model005,"(128, 64, 32)",0.0001,0.001,300,0.31,0.9436469962785752,0.9153732446415374,0.858876560332871,0.9857080527257911,0.9048800661703887,0.8344827586206897,0.7831715210355987,0.9526270121196203,0.9082265398925176,0.846551724137931,0.7868589743589743,0.9587997599894995,0.9032258064516129,0.9396551724137931,0.7325268817204301,0.9526270121196203,0.9016122364613477,0.9258620689655173,0.7336065573770492,0.9587997599894995,1639,199,35,545,1644,195,43,537,1.117521047592163,39,True,True,False
mlp_exp_20251201_2105_model006,"(128, 64, 32)",0.0001,0.001,500,0.31,0.9436469962785752,0.9153732446415374,0.858876560332871,0.9857080527257911,0.9048800661703887,0.8344827586206897,0.7831715210355987,0.9526270121196203,0.9082265398925176,0.846551724137931,0.7868589743589743,0.9587997599894995,0.9032258064516129,0.9396551724137931,0.7325268817204301,0.9526270121196203,0.9016122364613477,0.9258620689655173,0.7336065573770492,0.9587997599894995,1639,199,35,545,1644,195,43,537,1.1009700298309326,39,True,True,False
mlp_exp_20251201_2105_model007,"(128, 64, 32)",0.0001,0.0007,300,0.31,0.9495835548467128,0.9312638580931264,0.8680675163623838,0.9887487574017508,0.91232423490488,0.8517241379310345,0.7967741935483871,0.951834358935875,0.9119470855725507,0.8724137931034482,0.7844961240310078,0.9603063884044927,0.9069478908188585,0.9206896551724137,0.7489481065918654,0.951834358935875,0.9045059942124845,0.9293103448275862,0.7393689986282579,0.9603063884044927,1659,179,46,534,1649,190,41,539,1.8365650177001953,66,True,True,False
mlp_exp_20251201_2105_model008,"(128, 64, 32)",0.0001,0.0007,500,0.31,0.9495835548467128,0.9312638580931264,0.8680675163623838,0.9887487574017508,0.91232423490488,0.8517241379310345,0.7967741935483871,0.951834358935875,0.9119470855725507,0.8724137931034482,0.7844961240310078,0.9603063884044927,0.9069478908188585,0.9206896551724137,0.7489481065918654,0.951834358935875,0.9045059942124845,0.9293103448275862,0.7393689986282579,0.9603063884044927,1659,179,46,534,1649,190,41,539,1.8643977642059326,66,True,True,False
mlp_exp_20251201_2105_model009,"(128, 64, 32)",0.001,0.001,300,0.28,0.9425837320574163,0.9072431633407243,0.8607994389901823,0.9852683624579412,0.901985111662531,0.8172413793103448,0.7834710743801653,0.9527902330118946,0.9090533278214138,0.8482758620689655,0.7884615384615384,0.9587650709718549,0.8949545078577337,0.9224137931034483,0.7190860215053764,0.9527902330118946,0.9003720545680033,0.9310344827586207,0.728744939271255,0.9587650709718549,1629,209,45,535,1638,201,40,540,1.0991878509521484,39,True,True,False
mlp_exp_20251201_2105_model010,"(128, 64, 32)",0.001,0.001,500,0.28,0.9425837320574163,0.9072431633407243,0.8607994389901823,0.9852683624579412,0.901985111662531,0.8172413793103448,0.7834710743801653,0.9527902330118946,0.9090533278214138,0.8482758620689655,0.7884615384615384,0.9587650709718549,0.8949545078577337,0.9224137931034483,0.7190860215053764,0.9527902330118946,0.9003720545680033,0.9310344827586207,0.728744939271255,0.9587650709718549,1629,209,45,535,1638,201,40,540,1.096407175064087,39,True,True,False
