name,kind,best_threshold,val_acc_05,val_rec_05,test_acc_05,test_rec_05,val_acc_tuned,val_rec_tuned,test_acc_tuned,test_rec_tuned,test_auc_tuned,constraint_met,is_leader
mlp_v2,baseline_mlp,0.38,0.9507857733664186,0.9431034482758621,0.9359239355105415,0.9189655172413793,0.9528535980148883,0.9810344827586207,0.9309632079371641,0.9344827586206896,0.9672995068534249,True,False
LogisticRegression_balanced,single,0.26,0.7477253928866832,0.6844827586206896,0.7519636213311286,0.6844827586206896,0.5678246484698097,0.9241379310344827,0.5638693675072344,0.9017241379310345,0.802388854512385,False,False
RandomForest_default_tuned,single,0.39,0.8469809760132341,0.8068965517241379,0.8449772633319553,0.8017241379310345,0.8130686517783292,0.9241379310344827,0.8222405952873088,0.9413793103448276,0.9041692449044645,True,False
GradientBoosting_default_tuned,single,0.19,0.869313482216708,0.6258620689655172,0.8652335675899132,0.6137931034482759,0.8461538461538461,0.9206896551724137,0.8482844150475403,0.9275862068965517,0.9299328720631528,True,False
XGBoost_default_tuned,single,0.23,0.8672456575682382,0.6310344827586207,0.86812732534105,0.6258620689655172,0.8730355665839536,0.9224137931034483,0.8768085985944605,0.9258620689655173,0.9355862443981924,True,False
LightGBM_default_tuned,single,0.53,0.902812241521919,0.9362068965517242,0.9020256304257958,0.9172413793103448,0.9069478908188585,0.9241379310344827,0.902852418354692,0.8982758620689655,0.9452340102379478,False,False
SVM_RBF_balanced,single,0.5,0.804383788254756,0.6,0.8106655642827615,0.6155172413793103,0.804383788254756,0.6,0.8106655642827615,0.6155172413793103,0.8347658960079503,False,False
Ensemble_RF_XGB_LGBM_MLP_soft,ensemble,0.47,0.9098428453267163,0.9258620689655173,0.9078131459280695,0.9103448275862069,0.9114971050454922,0.946551724137931,0.9073997519636213,0.9275862068965517,0.954730831973899,True,False
